method,s_n_r_value,precision,recall,f1_score,mrr,latency_avg,latency_median,latency_p90,latency_p95,latency_p99,server_latency_avg,server_latency_median,server_latency_p90,server_latency_p95,server_latency_p99,throughput,num_samples
dense_retrieval_response,100_250_1,0.7704,0.7704,0.7704,1,25.00,22.05,36.70,41.76,53.90,8.01,8.00,9.00,9.00,12.00,534.75,10000
dense_retrieval_response,100_500_1,0.8577,0.8577,0.8577,1,25.42,22.01,34.25,39.53,84.45,9.87,9.00,10.00,11.00,25.01,524.14,10000
dense_retrieval_response,100_750_1,0.8947,0.8947,0.8947,1,29.67,25.80,39.08,45.30,174.45,11.45,9.00,11.00,12.00,154.00,528.09,10000
dense_retrieval_response,100_1000_1,0.9156,0.9156,0.9156,1,29.65,24.38,35.94,42.22,191.47,13.56,10.00,12.00,13.00,173.00,534.50,10000
dense_retrieval_response,100_1500_1,0.9386,0.9386,0.9386,1,31.84,22.91,34.97,50.62,206.90,18.87,11.00,14.00,28.05,192.00,497.30,10000
dense_retrieval_response,100_2000_1,0.9507,0.9507,0.9507,1,34.69,22.22,36.67,178.63,227.43,23.47,12.00,16.00,167.00,212.00,457.20,10000
dense_retrieval_response,100_2500_1,0.9582,0.9582,0.9582,1,37.90,22.49,38.21,190.15,233.17,28.49,14.00,22.00,181.00,219.00,418.43,10000
dense_retrieval_response,100_3000_1,0.9636,0.9636,0.9636,1,41.86,23.00,161.19,200.68,234.84,32.85,15.00,65.20,191.00,224.00,379.40,10000
dense_retrieval_response,100_4000_1,0.9705,0.9705,0.9705,1,50.28,25.23,189.88,212.03,250.34,42.12,18.00,182.00,203.00,237.01,316.21,10000
dense_retrieval_response,100_5000_1,0.9749,0.9749,0.9749,1,58.77,27.98,204.88,222.22,257.17,50.58,20.00,197.00,214.00,248.00,270.91,10000
dense_retrieval_response,100_6000_1,0.9781,0.9781,0.9781,1,66.75,30.45,213.49,230.85,264.35,59.04,23.00,206.00,223.00,257.00,238.59,10000
dense_retrieval_response,100_7000_1,0.9804,0.9804,0.9804,1,74.64,32.93,222.16,239.98,272.56,67.20,26.00,215.00,232.00,264.00,213.49,10000
dense_retrieval_response,100_8000_1,0.9823,0.9823,0.9823,1,82.28,35.23,230.10,246.10,275.63,75.09,28.00,223.00,239.00,269.00,193.59,10000
dense_retrieval_response,100_9000_1,0.9837,0.9837,0.9837,1,90.08,38.61,236.54,252.89,281.20,82.72,31.00,229.00,245.00,274.00,176.96,10000
dense_retrieval_response,100_10000_1,0.9848,0.9848,0.9848,1,97.64,41.82,244.89,260.53,288.88,90.34,35.00,238.00,253.00,281.01,163.31,10000
