method,s_n_r_value,precision,recall,f1_score,mrr,latency_avg,latency_median,latency_p90,latency_p95,latency_p99,server_latency_avg,server_latency_median,server_latency_p90,server_latency_p95,server_latency_p99,throughput,num_samples
dense_retrieval_response,100_250_1,0.7023,0.7023,0.7023,1,57.08,55.62,72.66,78.94,99.88,45.07,45.00,58.00,62.00,72.00,279.58,10000
dense_retrieval_response,100_500_1,0.8001,0.8001,0.8001,1,60.90,60.39,76.51,81.93,92.84,50.22,50.00,64.00,68.00,77.00,262.12,10000
dense_retrieval_response,100_750_1,0.8463,0.8463,0.8463,1,66.76,65.80,83.41,89.35,102.73,56.82,57.00,73.00,78.00,87.00,239.11,10000
dense_retrieval_response,100_1000_1,0.8748,0.8748,0.8748,1,72.88,71.73,91.72,97.95,114.66,62.93,63.00,81.00,86.00,98.00,219.01,10000
dense_retrieval_response,100_1500_1,0.9079,0.9079,0.9079,1,86.16,85.13,107.82,116.00,132.61,77.96,77.00,99.00,107.00,123.00,185.40,10000
dense_retrieval_response,100_2000_1,0.9269,0.9269,0.9269,1,103.36,101.66,128.62,136.99,155.18,95.42,94.00,121.00,128.00,146.00,154.55,10000
dense_retrieval_response,100_2500_1,0.9395,0.9395,0.9395,1,124.29,122.48,156.46,165.69,184.65,116.60,115.00,149.00,158.00,175.00,128.53,10000
dense_retrieval_response,100_3000_1,0.9482,0.9482,0.9482,1,144.67,142.37,179.87,190.23,213.99,137.18,135.00,172.00,183.00,205.00,110.34,10000
dense_retrieval_response,100_4000_1,0.9603,0.9603,0.9603,1,194.36,189.57,259.23,283.57,395.81,186.94,182.00,252.00,275.05,388.02,82.22,10000
dense_retrieval_response,100_5000_1,0.9678,0.9678,0.9678,1,260.33,249.79,389.58,431.86,600.10,252.93,242.00,382.10,425.00,594.00,61.38,10000
dense_retrieval_response,100_6000_1,0.973,0.973,0.973,1,327.44,314.86,496.97,559.34,740.53,320.59,308.00,490.00,552.00,732.02,48.81,10000
dense_retrieval_response,100_7000_1,0.9767,0.9767,0.9767,1,394.24,385.67,625.84,672.49,740.59,387.33,378.00,619.00,665.00,733.01,40.53,10000
dense_retrieval_response,100_8000_1,0.9797,0.9797,0.9797,1,564.14,577.79,920.20,973.75,1058.78,556.98,569.00,913.00,967.00,1052.00,28.33,10000
dense_retrieval_response,100_9000_1,0.9821,0.9821,0.9821,1,687.25,709.31,1120.63,1180.27,1278.29,679.53,701.00,1112.00,1172.00,1269.00,23.25,10000
dense_retrieval_response,100_10000_1,0.984,0.984,0.984,1,818.64,845.00,1335.92,1411.56,1577.60,810.91,836.00,1329.00,1405.00,1570.06,19.53,10000
